estudiante_id,carrera_id,fecha_insc,fecha_grad
100837,7,2004-01-20 21:26:00,2006-10-16 21:26:00
100983,18,2001-02-11 18:53:00,2004-12-01 16:30:00
100430,7,2010-02-01 08:55:00,2012-10-28 08:55:00
100647,11,2010-07-28 23:04:00,2013-04-23 23:04:00
100714,14,2001-06-29 01:50:00,
100459,14,2004-02-29 10:05:00,2008-10-11 09:11:00
100964,16,2009-11-20 08:01:00,2013-09-16 19:04:00
100027,13,2003-04-17 00:35:00,2006-01-11 00:35:00
100011,20,2008-07-26 07:11:00,2011-04-22 07:11:00
100542,3,2005-02-19 01:34:00,
100776,4,2001-07-09 12:43:00,
100942,13,2004-05-05 05:26:00,2008-06-06 03:40:00
100941,12,2010-02-18 23:08:00,2013-10-19 08:21:00
100882,18,2002-10-11 02:50:00,
100454,16,2007-07-31 23:01:00,2011-03-11 16:15:00
100918,14,2005-04-17 06:27:00,2010-03-12 03:50:00
100643,11,2001-03-09 15:42:00,2003-12-04 15:42:00
100747,5,2003-08-22 14:25:00,2008-02-27 05:50:00
100376,18,2000-10-11 21:36:00,
100290,19,2009-02-07 09:46:00,2011-11-04 09:46:00
100553,14,2005-09-24 02:09:00,
100026,3,2003-07-24 19:12:00,2006-07-05 04:17:00
100109,11,2006-01-06 10:46:00,2010-08-09 13:34:00
100396,2,2004-09-26 02:31:00,2007-06-23 02:31:00
100050,12,2005-02-03 07:51:00,2009-08-12 07:17:00
100995,18,2009-01-22 22:29:00,
100080,20,2003-08-10 14:23:00,2006-05-06 14:23:00
100822,16,2006-07-08 07:28:00,2010-12-30 01:04:00
100807,19,2005-06-15 04:47:00,2008-03-11 04:47:00
100131,16,2003-11-13 08:57:00,2006-08-09 08:57:00
100784,7,2004-03-28 11:28:00,2007-08-23 01:25:00
100452,5,2006-05-17 17:57:00,2009-02-10 17:57:00
100465,5,2005-07-25 05:35:00,2010-04-18 23:10:00
100616,14,2006-01-05 20:44:00,2008-10-01 20:44:00
100760,17,2006-10-26 03:22:00,2009-07-22 03:22:00
100173,7,2005-10-23 12:37:00,2009-07-07 05:51:00
100393,20,2005-04-25 12:04:00,2008-02-02 10:23:00
100925,3,2006-04-28 00:56:00,2010-07-30 21:36:00
100170,10,2004-09-23 02:31:00,
100316,1,2002-04-28 09:23:00,2005-01-22 09:23:00
100624,8,2002-01-03 23:00:00,2004-09-29 23:00:00
100458,8,2003-06-27 11:33:00,
100710,1,2002-10-11 11:51:00,
100012,16,2006-05-23 13:49:00,2009-02-16 13:49:00
