travel_id,user_id,scooter_id,start_time,end_time,scooter_start_kms,scooter_end_kms,pause,fare
1,28,2,2023-06-19 11:31:10,2023-06-08 10:02:56,8.93,160.09,,72412.02
2,21,9,2023-01-13 06:02:00,2022-12-24 08:48:51,57.51,166.43,,40266.72
3,47,2,2023-07-01 20:05:05,2022-12-06 01:59:33,54.9,240.84,,75263.32
4,27,10,2022-11-21 05:35:58,2023-05-19 11:52:55,96.38,246.52,11.67,16030.41
5,50,10,2023-04-09 21:21:24,2023-09-29 01:09:22,18.05,331.32,,5384.65
6,12,2,2023-02-01 11:15:34,2023-07-09 16:54:21,81.83,410.27,,76686.97
7,29,4,2023-06-18 17:31:08,2023-05-25 03:50:47,64.47,484.0,12.29,31218.31
8,30,10,2023-08-30 03:00:56,2023-06-13 17:38:34,20.78,363.85,,59922.13
9,45,9,2022-11-06 01:38:11,2023-09-28 14:36:49,99.04,248.98,,59833.98
10,20,6,2023-01-20 21:16:23,2023-05-08 07:10:45,66.3,180.7,,40851.16
11,17,2,2023-02-02 11:54:10,2022-11-13 19:37:35,85.1,417.13,12.47,12657.46
12,40,10,2023-08-07 03:59:38,2023-02-09 20:46:20,96.82,189.66,,9147.83
13,49,8,2022-12-01 09:21:21,2022-12-02 07:05:10,18.23,446.6,1.4,70829.18
14,31,9,2022-11-20 00:56:25,2023-07-18 19:10:56,1.86,127.68,11.5,85740.42
15,7,2,2022-11-19 01:01:36,2023-05-21 07:44:09,28.04,471.09,12.07,63911.93
16,50,3,2023-07-12 18:47:20,2023-06-27 05:28:33,6.8,314.28,,90543.34
17,18,4,2022-12-14 15:50:44,2023-07-01 13:27:17,62.14,433.12,,32990.32
18,7,4,2023-08-01 12:07:32,2023-06-12 03:56:43,37.05,156.45,,94403.06
19,14,1,2023-01-31 13:06:10,2023-03-12 22:44:16,64.43,145.53,6.58,70356.17
20,43,1,2023-07-28 14:47:49,2023-03-16 20:22:29,69.81,426.07,,14858.3
21,15,4,2023-10-15 22:26:20,2023-06-16 17:26:43,79.58,192.92,,63986.48
22,33,10,2023-06-26 09:44:02,2023-05-07 03:16:55,70.13,217.82,3.76,81830.4
23,12,1,2023-02-26 15:34:16,2023-09-27 14:51:31,99.43,259.97,12.64,4306.2
24,48,3,2022-10-30 21:38:30,2022-12-31 06:04:24,81.85,334.66,14.93,51379.78
25,18,7,2023-02-08 12:00:41,2023-08-05 05:35:54,94.72,127.46,5.89,27974.31
26,8,8,2023-10-03 01:21:43,2023-09-15 03:00:22,78.26,113.11,0.28,9647.41
27,11,7,2023-05-19 23:52:28,2023-04-29 22:43:38,27.77,370.6,8.82,84478.82
28,13,10,2023-02-09 16:32:49,2023-01-20 07:19:39,43.64,363.01,,74079.77
29,47,3,2022-12-04 15:29:41,2023-08-26 06:17:54,84.21,125.47,2.58,25597.7
30,38,5,2023-08-22 07:40:38,2023-09-08 21:36:55,36.11,331.81,,49255.23
31,18,7,2023-04-08 06:34:24,2023-07-18 11:37:29,45.11,223.18,,78257.27
32,45,3,2023-04-09 18:29:37,2023-05-15 12:06:04,81.06,297.42,14.47,42960.48
33,50,2,2023-05-31 22:25:22,2023-01-20 17:20:12,23.84,204.72,,64080.55
34,39,3,2022-11-01 03:48:15,2022-12-16 02:28:49,40.63,330.32,5.06,30786.35
35,49,1,2023-06-11 20:49:19,2023-10-14 21:27:39,28.92,339.17,10.19,2951.37
36,35,6,2023-04-06 10:46:36,2023-04-17 09:34:14,20.31,191.39,,70337.15
37,46,10,2023-05-12 09:43:33,2023-01-21 10:43:18,53.33,345.57,,63851.53
38,38,9,2023-01-19 09:59:10,2022-12-06 03:51:02,75.64,424.5,,53581.57
39,32,1,2023-06-30 08:11:08,2022-11-02 23:45:21,41.04,332.08,13.23,54222.06
40,8,4,2023-07-05 02:18:45,2023-08-18 07:52:58,10.59,386.69,12.46,32431.36
41,45,3,2022-12-05 17:55:37,2023-07-06 11:35:08,71.14,180.52,,3261.01
42,24,9,2023-03-30 09:36:27,2022-12-25 10:37:42,43.25,361.26,,32005.0
43,47,3,2023-03-16 02:47:45,2023-05-30 00:07:40,26.29,419.52,,63825.68
44,9,8,2023-05-14 05:20:07,2023-10-17 20:36:45,93.89,332.27,,49982.95
45,4,10,2023-01-31 01:26:05,2023-10-09 23:41:48,43.11,250.77,,65057.43
46,36,10,2023-06-24 22:02:13,2022-12-09 05:14:23,7.36,463.55,14.51,15714.45
47,40,4,2023-10-22 03:50:35,2023-05-28 16:10:37,62.36,232.36,,14249.88
48,4,6,2022-11-10 10:27:15,2023-10-05 20:01:28,64.2,180.8,12.06,53755.99
49,36,10,2023-07-05 02:07:30,2023-03-18 23:26:47,14.79,209.42,,5277.1
50,24,8,2023-09-17 02:44:33,2022-11-26 10:15:13,50.51,276.46,,31580.86
